"","Point est.","Upper C.I."
"theta[469]",1.00432129539133,1.0084708337481
"theta[470]",1.00094124996339,1.00321125696973
"theta[471]",1.00024780696041,1.00086386702377
"theta[472]",1.00168194347332,1.00520739170247
"theta[473]",1.00054349294148,1.0018529728566
"theta[474]",1.00021856308596,1.00047894283929
"theta[475]",1.00041275160331,1.00161443109129
"theta[476]",1.00066174623431,1.00216157859171
"theta[477]",1.00084273599763,1.00186079809208
"theta[478]",1.00078684117132,1.00189137130259
"theta[479]",0.999955400798374,1.00004394546598
"theta[480]",1.00104170823421,1.00362189007915
"theta[481]",1.00069656750918,1.00253504289579
"theta[482]",1.0010622290096,1.00262588978764
"theta[483]",1.00003316359196,1.00024250295635
"theta[484]",1.00094373923519,1.00231109402962
"theta[485]",1.00104350899971,1.00384551756376
"theta[486]",1.00058989231012,1.00186328877194
"theta[487]",1.00108510234493,1.00300739953729
"theta[488]",1.00076419168789,1.00216014215424
"theta[489]",1.00018221362136,1.00081338777919
"theta[490]",1.00144320180394,1.00459956521497
"theta[491]",1.00094172353531,1.00154172940236
"theta[492]",1.00117616057891,1.00269991899402
"theta[493]",1.00158416680211,1.00560216887947
"theta[494]",1.00054315772747,1.00122173659108
"theta[495]",1.00040937669728,1.00128684651146
"theta[496]",1.00018810154687,1.00022796651021
"theta[497]",1.00071515542935,1.00274658362096
"theta[498]",1.00023511981603,1.00091108984723
"theta[499]",1.00132580934353,1.00512322598183
"theta[500]",1.00187108119826,1.00456258113415
