"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2"
"theta[575]",0.471788247995353,0.0944878256460915,0.21256642639422,0.0465146904590603,0.346002476392558,0.455668607595961,0.575237393892179,0.933127738210313,5.06101509332775,1.26383340237945,0.568991560447535,0.199743550340801,0.279379853946694,0.409878447133937,0.516194330389733,0.681796353058957,0.988037302360004,0.374584935543172,0.177766226504013,-0.0566798972364481,0.275660004766556,0.41284135544782,0.477841972859884,0.682761458671395
"theta[576]",0.276947551871135,0.0925374803723113,0.313910269923821,-0.40404333563822,0.0809167371873452,0.279374143952183,0.497999068822131,0.897005503995513,11.5073602187258,1.24471942639878,0.345939609110571,0.190295540943077,0.0356338649736092,0.198921161255181,0.34498522729331,0.498724876424464,0.667045506128761,0.207955494631699,0.389148073692795,-0.464832370579565,-0.0674397731872666,0.190578883363099,0.491795103183236,0.999568332296203
"theta[577]",-0.412948383802589,0.105537693803303,0.27470148205848,-0.923716337655649,-0.605871871128856,-0.383458089466297,-0.219449063306623,0.112633840901626,6.77496109201411,1.31262906534074,-0.310544108674673,0.21643101431025,-0.664156511973682,-0.486390614324957,-0.275990630589878,-0.190186071620488,0.137101792317731,-0.515352658930505,0.288375962211192,-1.0139729473452,-0.749452280708509,-0.521583138281498,-0.292305176659313,0.0185720483625606
"theta[578]",-1.53694287949564,0.124925099349526,0.369668254004788,-2.29468264955992,-1.75346745145369,-1.53452873014591,-1.32044808617718,-0.760145959882286,8.75638615355879,1.1534115797498,-1.37429155529894,0.286625768887352,-1.78617696506471,-1.58954662697395,-1.41375974117308,-1.21199663830328,-0.660906542830481,-1.69959420369234,0.371924489192074,-2.45993343472013,-1.93843038814705,-1.71030362253796,-1.44202410548767,-0.892782912996807
"theta[579]",-1.61218399699607,0.239547885137429,0.367982321354325,-2.42616436628874,-1.82589038731989,-1.60576912175999,-1.35580631958195,-0.96506996638525,2.35976756508214,1.39118230141891,-1.38404546760952,0.239025182498323,-1.7602869031362,-1.58348875997308,-1.4098232552648,-1.20820224446775,-0.879337575737063,-1.84032252638262,0.331098037699663,-2.51916675467122,-2.05710460706646,-1.82411796097775,-1.67161614422987,-1.15373752721837
"theta[580]",0.504859823750983,1.34926863268586,1.37746357188645,-1.308658376749,-0.839567504964844,0.452137987855048,1.8126070937481,2.44405566093738,1.04222958383891,4.85902686143879,-0.833180347476464,0.287093979776187,-1.38010672198811,-1.00564046951558,-0.839665249856083,-0.611215717790962,-0.343297431760336,1.84289999497843,0.36055630461555,1.22745376551299,1.56540410984762,1.81272339877716,2.12314047527795,2.49277932510364
"theta[581]",-1.24601076805963,0.0720134343080386,0.391081031413021,-2.01657568460763,-1.50330534444855,-1.18212996693402,-0.977374777714579,-0.561786560865745,29.4921516301602,1.01620053271159,-1.28085995404118,0.328022674668214,-1.89602370475271,-1.53458382306465,-1.19044361522307,-1.0061878316345,-0.83824386947267,-1.21116158207809,0.442731979583827,-2.14007280534246,-1.4887031453626,-1.17329277400668,-0.882185214899859,-0.508259717550009
"theta[582]",0.808305972965433,0.482747235389065,0.496390630054411,0.0941048229959416,0.3481204571386,0.840855292563255,1.28723502525467,1.52313954055276,1.05732270783648,4.29095142515825,1.28606573304807,0.140878052253708,1.04876241512276,1.18763406535215,1.28728606125155,1.36435595049636,1.62887430005955,0.330546212882792,0.127442526112164,0.0711552938734499,0.265274276889863,0.348069006548868,0.402787996649625,0.584461060675154
"theta[583]",1.04424558004677,0.622891902801882,0.659843939556593,0.161089937448149,0.30561414228064,1.16149471206892,1.62200801605304,2.16868368027901,1.12216596799329,3.67323143842551,1.65142078951703,0.235895698701241,1.30174019631843,1.4592471978763,1.62200801605304,1.796564445536,2.20698626560297,0.43707037057651,0.278416175546215,0.129112683064361,0.231098023941724,0.305532584322069,0.604509669955038,1.00764535883439
"theta[584]",-1.17102228297802,0.287404966447627,0.448409305158673,-2.08761850623238,-1.49157621485714,-1.17487733470593,-0.829145488957187,-0.426851563483255,2.43422487064929,1.38792770613221,-0.906297374223149,0.317880914731984,-1.46122496281887,-1.18436680714414,-0.902674462209326,-0.625164977319405,-0.392439622209294,-1.43574719173289,0.401243009469351,-2.21259235049432,-1.74274159659705,-1.46825811430316,-1.14389757026358,-0.677119990690923
