		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[44,1]	-0.1833	0.2159	0.01362	-0.5941	-0.1774	0.2477	501	1550
	theta[45,1]	-0.0634	0.163	0.01049	-0.3841	-0.06521	0.2588	501	1550
	theta[46,1]	0.7843	0.1883	0.008261	0.441	0.7769	1.178	501	1550
	theta[47,1]	-0.04138	0.1651	0.009744	-0.3342	-0.04623	0.2963	501	1550
	theta[48,1]	-0.3699	0.1772	0.009458	-0.7002	-0.3706	-0.01333	501	1550
	theta[49,1]	-0.537	0.1871	0.01236	-0.9069	-0.5405	-0.1806	501	1550
	theta[50,1]	-0.1212	0.1918	0.01197	-0.4861	-0.1167	0.244	501	1550
	theta[51,1]	-0.1071	0.1734	0.01091	-0.4378	-0.1009	0.2301	501	1550
	theta[52,1]	-0.659	0.1805	0.01046	-1.017	-0.6668	-0.2987	501	1550
	theta[53,1]	0.3313	0.1757	0.01047	-0.0155	0.3285	0.667	501	1550
	theta[54,1]	-1.629	0.2267	0.01156	-2.072	-1.625	-1.225	501	1550
	theta[55,1]	0.5096	0.1918	0.01085	0.1353	0.5206	0.8824	501	1550
	theta[56,1]	-1.513	0.2221	0.01179	-1.941	-1.508	-1.102	501	1550
	theta[57,1]	-0.1434	0.1678	0.01138	-0.467	-0.1425	0.1877	501	1550
	theta[58,1]	-0.6681	0.1777	0.0109	-1.011	-0.6713	-0.3155	501	1550
	theta[59,1]	-0.4933	0.1794	0.009105	-0.8613	-0.4817	-0.1589	501	1550
	theta[60,1]	-0.1008	0.2352	0.01252	-0.533	-0.1124	0.4036	501	1550
	theta[61,1]	-1.771	0.2628	0.01176	-2.331	-1.755	-1.284	501	1550
	theta[62,1]	0.9429	0.1749	0.01123	0.6155	0.9385	1.28	501	1550
	theta[63,1]	-1.453	0.2116	0.01305	-1.865	-1.442	-1.097	501	1550
	theta[64,1]	-0.2036	0.1517	0.0107	-0.4765	-0.2036	0.07953	501	1550
