		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[9,1]	0.3531	0.2003	0.007279	-0.05353	0.3547	0.7325	10000	5001
	theta[10,1]	0.2078	0.1655	0.005893	-0.1304	0.211	0.5442	10000	5001
	theta[11,1]	-0.5934	0.1798	0.005862	-0.9314	-0.5979	-0.2294	10000	5001
	theta[12,1]	0.8152	0.2092	0.006835	0.4187	0.814	1.217	10000	5001
	theta[13,1]	1.226	0.2493	0.009136	0.6806	1.245	1.665	10000	5001
	theta[14,1]	0.6306	0.1762	0.006979	0.2734	0.6292	0.9637	10000	5001
	theta[15,1]	1.352	0.2001	0.008847	0.9476	1.352	1.744	10000	5001
	theta[16,1]	0.4319	0.191	0.007082	0.07604	0.4307	0.8247	10000	5001
	theta[17,1]	-1.382	0.2192	0.007962	-1.833	-1.368	-0.9879	10000	5001
	theta[18,1]	-0.5311	0.1674	0.005879	-0.8509	-0.5267	-0.2117	10000	5001
	theta[19,1]	-1.078	0.1788	0.006619	-1.445	-1.07	-0.7512	10000	5001
	theta[20,1]	-0.4805	0.1578	0.005487	-0.7899	-0.4841	-0.1736	10000	5001
	theta[21,1]	-0.525	0.2103	0.007063	-0.9302	-0.5211	-0.1222	10000	5001
	theta[22,1]	0.1619	0.1659	0.006729	-0.1759	0.166	0.4844	10000	5001
	theta[23,1]	-0.5814	0.1677	0.00631	-0.9066	-0.5804	-0.249	10000	5001
	theta[24,1]	0.1547	0.1797	0.006278	-0.2267	0.1568	0.4879	10000	5001
	theta[25,1]	-0.4472	0.1681	0.006445	-0.7721	-0.4459	-0.1087	10000	5001
	theta[26,1]	1.925	0.2062	0.008366	1.545	1.916	2.341	10000	5001
	theta[27,1]	0.9173	0.1822	0.007315	0.5665	0.9138	1.29	10000	5001
	theta[28,1]	1.061	0.1819	0.00778	0.7002	1.065	1.411	10000	5001
	theta[29,1]	0.3748	0.1707	0.006016	0.04228	0.3656	0.7261	10000	5001
	theta[30,1]	1.575	0.1947	0.008041	1.181	1.573	1.957	10000	5001
	theta[31,1]	-0.5485	0.1698	0.006345	-0.8793	-0.5473	-0.2315	10000	5001
	theta[32,1]	-0.5592	0.1701	0.006959	-0.9112	-0.5508	-0.2484	10000	5001
	theta[33,1]	1.399	0.1997	0.008189	1.007	1.397	1.788	10000	5001
	theta[34,1]	-0.8622	0.1814	0.006852	-1.24	-0.8516	-0.5173	10000	5001
	theta[35,1]	-0.2968	0.1779	0.005213	-0.6478	-0.3033	0.06587	10000	5001
	theta[36,1]	-0.2238	0.2127	0.007615	-0.6171	-0.2302	0.211	10000	5001
	theta[37,1]	-0.3458	0.2067	0.006374	-0.7667	-0.3349	0.06075	10000	5001
	theta[38,1]	-0.2407	0.1561	0.005993	-0.5619	-0.2394	0.06236	10000	5001
	theta[39,1]	0.289	0.1708	0.006546	-0.04337	0.2859	0.6239	10000	5001
	theta[40,1]	0.1917	0.1612	0.006202	-0.1081	0.192	0.5116	10000	5001
	theta[41,1]	-0.6394	0.1688	0.006022	-0.9639	-0.6454	-0.3008	10000	5001
